 fecha ,      ipc
04/01/1999,3835.73
05/01/1999,3759.87
06/01/1999,3745.15
07/01/1999,3665.25
08/01/1999,3638.55
11/01/1999,3592.2
12/01/1999,3459.64
13/01/1999,3300.42
14/01/1999,3356.59
15/01/1999,3617.77
18/01/1999,3637.77
19/01/1999,3603.43
20/01/1999,3775.41
21/01/1999,3734.2
22/01/1999,3697.03
25/01/1999,3707.8
26/01/1999,3765.97
27/01/1999,3815.35
28/01/1999,3992.91
29/01/1999,3957.93
01/02/1999,4030.24
02/02/1999,4014.58
03/02/1999,4060.56
04/02/1999,4013.55
08/02/1999,4016.8
09/02/1999,3946.94
10/02/1999,3941.49
11/02/1999,4107.74
12/02/1999,4101.18
15/02/1999,4103.6
16/02/1999,4159.04
17/02/1999,4076.34
18/02/1999,4112.65
19/02/1999,4200.12
22/02/1999,4243.18
23/02/1999,4231.67
24/02/1999,4269.12
25/02/1999,4292.86
26/02/1999,4260.8
01/03/1999,4217.74
02/03/1999,4186.65
03/03/1999,4127.38
04/03/1999,4218.02
05/03/1999,4327.8
08/03/1999,4460.85
09/03/1999,4568.1
10/03/1999,4728.27
11/03/1999,4679.8
12/03/1999,4697.73
15/03/1999,4769.9
16/03/1999,4890.39
17/03/1999,4855.17
18/03/1999,4864.8
19/03/1999,4784.33
22/03/1999,4715.3
23/03/1999,4632.07
24/03/1999,4819.49
25/03/1999,4829.2
26/03/1999,4736.58
29/03/1999,4845.43
30/03/1999,4882
31/03/1999,4930.37
05/04/1999,5101.94
06/04/1999,5146.79
07/04/1999,5123.13
08/04/1999,5175.39
09/04/1999,5204.88
12/04/1999,5303.28
13/04/1999,5296.31
14/04/1999,5297.35
15/04/1999,5490.62
16/04/1999,5556.44
19/04/1999,5464.17
20/04/1999,5337.64
21/04/1999,5284.47
22/04/1999,5475.67
23/04/1999,5481.78
26/04/1999,5405.15
27/04/1999,5382.39
28/04/1999,5458.16
29/04/1999,5517.31
30/04/1999,5414.45
03/05/1999,5579.14
04/05/1999,5560.63
06/05/1999,5802.47
07/05/1999,5964.37
10/05/1999,6080.47
11/05/1999,5981.09
12/05/1999,5877.28
13/05/1999,6022.86
14/05/1999,5913.2
17/05/1999,5851.5
18/05/1999,5856.15
19/05/1999,5731.2
20/05/1999,5799.49
21/05/1999,5639.5
24/05/1999,5498.79
25/05/1999,5441.06
26/05/1999,5618.35
27/05/1999,5498.85
28/05/1999,5423.57
31/05/1999,5477.65
01/06/1999,5436.42
02/06/1999,5400.2
03/06/1999,5363.62
04/06/1999,5371.26
07/06/1999,5421.94
08/06/1999,5428.88
09/06/1999,5398.42
10/06/1999,5366.59
11/06/1999,5234.65
14/06/1999,5117.85
15/06/1999,5299.93
16/06/1999,5628.53
17/06/1999,5660.66
18/06/1999,5716.65
21/06/1999,5823.71
22/06/1999,5773.53
23/06/1999,5637.35
24/06/1999,5549.18
25/06/1999,5515.24
28/06/1999,5574.54
29/06/1999,5645.07
30/06/1999,5829.51
01/07/1999,5854.6
02/07/1999,5887.61
05/07/1999,5955.53
06/07/1999,5918.72
07/07/1999,5931.24
08/07/1999,5890.48
09/07/1999,5888.87
12/07/1999,5769.37
13/07/1999,5844.6
14/07/1999,5834.89
15/07/1999,5875.97
16/07/1999,5886.41
19/07/1999,5912.29
20/07/1999,5814.97
21/07/1999,5857.63
22/07/1999,5784.69
23/07/1999,5613.19
26/07/1999,5427.61
27/07/1999,5406.65
28/07/1999,5483.75
29/07/1999,5267.68
30/07/1999,5260.35
02/08/1999,5106.77
03/08/1999,5178.09
04/08/1999,5142.91
05/08/1999,5150.79
06/08/1999,5029.66
09/08/1999,5071.7
10/08/1999,5058.31
11/08/1999,5180.88
12/08/1999,5217.52
13/08/1999,5369.02
16/08/1999,5300.46
17/08/1999,5279.89
18/08/1999,5167.72
19/08/1999,5148.42
20/08/1999,5099.26
23/08/1999,5215.15
24/08/1999,5244.11
25/08/1999,5379.85
26/08/1999,5349.94
27/08/1999,5252.33
30/08/1999,5174.8
31/08/1999,5086.87
02/09/1999,5019.35
03/09/1999,5026.57
06/09/1999,5051
07/09/1999,4910.06
08/09/1999,4854.28
09/09/1999,4828.92
10/09/1999,4979.93
13/09/1999,5016.12
14/09/1999,4969.85
15/09/1999,4970.24
17/09/1999,4951.68
20/09/1999,4998.83
21/09/1999,4919.79
22/09/1999,4991.76
23/09/1999,4973.93
24/09/1999,4980.88
27/09/1999,5055.76
28/09/1999,5091.69
29/09/1999,5079.75
30/09/1999,5050.46
01/10/1999,4985.21
04/10/1999,5044.61
05/10/1999,4989.66
06/10/1999,5116.25
07/10/1999,5183.68
08/10/1999,5282.96
11/10/1999,5331.02
12/10/1999,5202.82
13/10/1999,5076.14
14/10/1999,5030.61
15/10/1999,4825.05
18/10/1999,4907.47
19/10/1999,5050.48
20/10/1999,5122.39
21/10/1999,5105.27
22/10/1999,5156.06
25/10/1999,5131.58
26/10/1999,5134.96
27/10/1999,5142.22
28/10/1999,5328.52
29/10/1999,5450.37
01/11/1999,5479.79
03/11/1999,5793.85
04/11/1999,5817.04
05/11/1999,5919.97
08/11/1999,5943.96
09/11/1999,5867.38
10/11/1999,5963.84
11/11/1999,6086.3
12/11/1999,6034.76
15/11/1999,6115.1
16/11/1999,6101.86
17/11/1999,6103.62
18/11/1999,6195.03
19/11/1999,6286.68
22/11/1999,6092.26
23/11/1999,6110.75
24/11/1999,6182.04
25/11/1999,6326.49
26/11/1999,6337.45
29/11/1999,6303.1
30/11/1999,6136.47
01/12/1999,6201.14
02/12/1999,6370.5
03/12/1999,6470.41
06/12/1999,6425.7
07/12/1999,6397.84
08/12/1999,6665.03
09/12/1999,6718.33
10/12/1999,6781.39
13/12/1999,6725.55
14/12/1999,6654.22
15/12/1999,6772.15
16/12/1999,6859.03
17/12/1999,6959.35
20/12/1999,6943.1
21/12/1999,6976.75
22/12/1999,6835.28
23/12/1999,6933.78
24/12/1999,6925.76
27/12/1999,6986.38
28/12/1999,7007.75
29/12/1999,7121.79
30/12/1999,7129.88
03/01/2000,7077.71
04/01/2000,6675.27
05/01/2000,6764.31
06/01/2000,6751.65
07/01/2000,7047.09
10/01/2000,7333.7
11/01/2000,7143.13
12/01/2000,7174.1
13/01/2000,7274.52
14/01/2000,7381.49
17/01/2000,7447.12
18/01/2000,7303.32
19/01/2000,7171.2
20/01/2000,7036.79
