# Title: Global Land and Ocean April Average Temperature Departures
# Units: Degrees Celsius
# Base Period: 1901-2000
Year,Departure from Average
1850,-0.36
1851,-0.31
1852,-0.17
1853,-0.22
1854,-0.06
1855,-0.11
1856,-0.25
1857,-0.29
1858,-0.21
1859,-0.04
1860,-0.22
1861,-0.21
1862,-0.2
1863,-0.15
1864,-0.17
1865,-0.23
1866,-0.34
1867,-0.44
1868,-0.32
1869,-0.14
1870,-0.23
1871,-0.07
1872,-0.27
1873,-0.34
1874,-0.31
1875,-0.22
1876,-0.2
1877,-0.06
1878,0.23
1879,-0.21
1880,-0.12
1881,0.04
1882,-0.22
1883,-0.21
1884,-0.35
1885,-0.39
1886,-0.23
1887,-0.35
1888,-0.31
1889,0.04
1890,-0.37
1891,-0.26
1892,-0.33
1893,-0.37
1894,-0.39
1895,-0.18
1896,-0.33
1897,-0.03
1898,-0.34
1899,-0.25
1900,-0.1
1901,0
1902,-0.24
1903,-0.43
1904,-0.49
1905,-0.32
1906,-0.04
1907,-0.42
1908,-0.51
1909,-0.45
1910,-0.39
1911,-0.37
1912,-0.19
1913,-0.36
1914,-0.17
1915,0.08
1916,-0.17
1917,-0.42
1918,-0.48
1919,-0.01
1920,-0.26
1921,-0.22
1922,-0.15
1923,-0.28
1924,-0.19
1925,-0.16
1926,-0.02
1927,-0.29
1928,-0.23
1929,-0.36
1930,-0.13
1931,-0.15
1932,-0.04
1933,-0.18
1934,-0.21
1935,-0.33
1936,-0.11
1937,-0.15
1938,0.08
1939,-0.14
1940,0.26
1941,0.25
1942,0.07
1943,0.16
1944,0.16
1945,0.31
1946,0.06
1947,0.09
1948,-0.04
1949,-0.04
1950,-0.17
1951,-0.11
1952,0.1
1953,0.23
1954,-0.14
1955,-0.17
1956,-0.23
1957,0.05
1958,0.07
1959,0.16
1960,-0.11
1961,0.15
1962,0.08
1963,-0.03
1964,-0.26
1965,-0.17
1966,-0.07
1967,-0.01
1968,-0.04
1969,0.17
1970,0.1
1971,-0.08
1972,0.03
1973,0.31
1974,-0.05
1975,0.07
1976,-0.02
1977,0.24
1978,0.14
1979,0.07
1980,0.31
1981,0.32
1982,0.14
1983,0.25
1984,0.12
1985,0.12
1986,0.25
1987,0.27
1988,0.42
1989,0.26
1990,0.56
1991,0.51
1992,0.27
1993,0.29
1994,0.37
1995,0.47
1996,0.33
1997,0.39
1998,0.71
1999,0.35
2000,0.58
2001,0.51
2002,0.52
2003,0.56
2004,0.58
2005,0.66
2006,0.53
2007,0.76
2008,0.5
2009,0.55
2010,0.85
2011,0.65
2012,0.7
2013,0.58
2014,0.77
2015,0.79
2016,1.1
2017,0.94
2018,0.9
2019,1.04
2020,1.13
2021,0.8
2022,0.88
2023,0.99
2024,1.26
2025,1.2
2026,1.12
